Title,Description,Tags,Due Date,Estimated Time,Priority
"Organize charity event","Organize a charity event for the company’s CSR initiative.","work, event","2023-12-17",1,"Low"
"Design banner ad","Design a banner ad for the upcoming campaign.","design, marketing","2023-12-16",2,"Medium"
"Schedule company-wide meeting","Schedule and organize the company-wide meeting for next month.","work, meeting","2023-12-19",3,"High"
"Prepare team performance review","Prepare the performance review for your team.","work, HR","2023-12-23",1,"Low"
"Create website landing page","Create the landing page for the new website launch.","design","2023-12-30",2,"Medium"
"Write client proposal","Write a proposal for a potential client.","work, sales","2023-12-28",2,"Medium"
"Organize team lunch","Organize a team lunch event for employee bonding.","work, team","2023-12-16",1,"Low"
"Develop internal tools","Develop internal tools to improve team collaboration.","development","2023-12-21",3,"High"
"Organize company outing","Organize an outing event for employees.","work, event","2023-12-18",2,"Medium"
"Create social media plan","Create a social media plan for the product launch.","marketing","2023-12-17",3,"High"
"Conduct code review","Review the code for the latest release.","development","2023-12-30",2,"Medium"
"Attend leadership training","Attend the leadership training session organized by HR.","training","2023-12-23",1,"Low"
"Update project plan","Update the project plan based on the latest feedback.","work","2023-12-19",3,"High"
"Write code for feature","Write code for a new feature in the product.","development","2023-12-28",2,"Medium"
"Coordinate with sales team","Coordinate with the sales team for the latest campaign.","work, sales","2023-12-22",3,"High"
"Submit final report","Submit the final report for the project to the manager.","work","2023-12-30",1,"Low"
